id,name,name_en,path,depth,numchild,full_code,is_public,products,products_active,cum_products
1162,KAUS PRIA,,0008000400030003,4,0,A008-04-01-02,true,1467,1423,1467
1224,CELANA DALAM WANITA,,0008000500070002,4,0,A008-05-07-02,true,1427,1406,2894
1788,BARANG OBRAL,,000E0001,2,0,Z002-01,true,1382,1272,4276
68,MAINAN ANAK LAKI-LAKI,,000A0002,2,0,A010-02,true,1319,1277,5595
1568,SPREI,,000B000A000700020003000B,6,0,A003-02-05-02-03-11,true,1186,1166,6781
955,PERALATAN RUMAH TANGGA,,000B000A00070001,4,4,A003-02-05-01,true,1143,1113,7924
440,SANDAL WANITA,,0008000D0003,3,0,A008-13-03,true,1086,1074,9010
10,Mainan dan Alat Lainnya,Toys and Tools,000A,1,8,A010,true,1048,1040,10058
1223,BRA WANITA,,0008000500070001,4,0,A008-05-07-01,true,1022,984,11080
1163,KEMEJA PRIA,,0008000400030004,4,0,A008-04-01-03,true,937,931,12017
1183,BLOUSE WANITA,,0008000500010001,4,0,A008-05-01-01,true,913,909,12930
1176,CELANA PANJANG PRIA,,0008000400070001,4,0,A008-04-05-01,true,885,879,13815
1814,ARTEMEDIA,,000F00070002,3,0,Z003-B001-06,true,830,772,14645
533,COOKIES & BISKUIT,,0001000500020002,4,0,A001-04-02-02,true,827,542,15472
1211,CELANA PANJANG WANITA,,0008000500050002,4,0,A008-05-05-02,true,827,802,16299
450,TAS WANITA,,0008000E0004,3,10,A008-14-04,true,784,742,17083
432,SANDAL PRIA,,0008000C0003,3,0,A008-12-03,true,782,762,17865
1139,ATASAN ANAK LAKI-LAKI,,0008000300010001,4,0,A008-03-01-01,true,734,701,18599
879,SHAMPOO,,000B000800010008,4,0,A003-01-01-08,true,719,431,19318
72,MAINAN OLAHRAGA DAN AKTIVITAS,,000A0006,2,4,A010-06,true,683,669,20001
1271,TAS RANSEL PRIA,,0008000E00020008,4,0,A008-14-02-08,true,661,624,20662
53,KACAMATA,,00080007,2,3,A008-07,true,642,636,21304
1262,TAS RANSEL / PUNGGUNG ANAK,,0008000E00010002,4,0,A008-14-01-02,true,638,613,21942
49,FASHION ANAK & BAYI,,00080003,2,3,A008-03,true,596,590,22538
1180,CELANA DALAM PRIA,,0008000400080002,4,0,A008-04-06-02,true,589,589,23127
1141,BAWAHAN ANAK LAKI-LAKI,,0008000300010003,4,0,A008-03-01-03,true,584,579,23711
1727,BOTOL MINUM PLASTIK,,000B000A000700010003000300020002,8,0,A003-02-05-01-03-03-02-02,true,583,524,24294
377,AKSESORIS FASHION DEWASA LAINNYA,,000800020001,3,0,A008-02-01,true,569,492,24863
1144,SET PAKAIAN ANAK LAKI-LAKI,,0008000300010006,4,0,A008-03-01-06,true,569,562,25432
58,SEPATU PRIA,,0008000C,2,8,A008-12,true,558,555,25990
